Freq.	V(vout)
1.02754298811780e-02	(-6.02243780560697e+00dB,-1.17862376381247e+00°)
1.02777961587622e-02	(-6.02243865200340e+00dB,-1.17889510662119e+00°)
1.02801629812646e-02	(-6.02243949878952e+00dB,-1.17916651186319e+00°)
1.02825303488108e-02	(-6.02244034596554e+00dB,-1.17943797955281e+00°)
1.02848982615264e-02	(-6.02244119353161e+00dB,-1.17970950970439e+00°)
1.02872667195367e-02	(-6.02244204148793e+00dB,-1.17998110233229e+00°)
1.02896357229674e-02	(-6.02244288983467e+00dB,-1.18025275745084e+00°)
1.02920052719442e-02	(-6.02244373857201e+00dB,-1.18052447507441e+00°)
1.02943753665925e-02	(-6.02244458770014e+00dB,-1.18079625521735e+00°)
1.02967460070382e-02	(-6.02244543721922e+00dB,-1.18106809789403e+00°)
1.02991171934069e-02	(-6.02244628712945e+00dB,-1.18134000311880e+00°)
1.03014889258242e-02	(-6.02244713743100e+00dB,-1.18161197090604e+00°)
1.03038612044160e-02	(-6.02244798812405e+00dB,-1.18188400127011e+00°)
1.03062340293081e-02	(-6.02244883920879e+00dB,-1.18215609422539e+00°)
1.03086074006261e-02	(-6.02244969068539e+00dB,-1.18242824978625e+00°)
1.03109813184961e-02	(-6.02245054255402e+00dB,-1.18270046796708e+00°)
1.03133557830437e-02	(-6.02245139481489e+00dB,-1.18297274878226e+00°)
1.03157307943950e-02	(-6.02245224746815e+00dB,-1.18324509224618e+00°)
1.03181063526758e-02	(-6.02245310051400e+00dB,-1.18351749837322e+00°)
1.03204824580121e-02	(-6.02245395395262e+00dB,-1.18378996717778e+00°)
1.03228591105299e-02	(-6.02245480778418e+00dB,-1.18406249867426e+00°)
1.03252363103551e-02	(-6.02245566200887e+00dB,-1.18433509287705e+00°)
1.03276140576138e-02	(-6.02245651662686e+00dB,-1.18460774980057e+00°)
1.03299923524322e-02	(-6.02245737163835e+00dB,-1.18488046945921e+00°)
1.03323711949362e-02	(-6.02245822704350e+00dB,-1.18515325186739e+00°)
1.03347505852520e-02	(-6.02245908284250e+00dB,-1.18542609703951e+00°)
1.03371305235057e-02	(-6.02245993903554e+00dB,-1.18569900499001e+00°)
1.03395110098236e-02	(-6.02246079562279e+00dB,-1.18597197573328e+00°)
1.03418920443318e-02	(-6.02246165260443e+00dB,-1.18624500928377e+00°)
1.03442736271566e-02	(-6.02246250998065e+00dB,-1.18651810565589e+00°)
1.03466557584242e-02	(-6.02246336775163e+00dB,-1.18679126486408e+00°)
1.03490384382610e-02	(-6.02246422591755e+00dB,-1.18706448692276e+00°)
1.03514216667933e-02	(-6.02246508447859e+00dB,-1.18733777184638e+00°)
1.03538054441474e-02	(-6.02246594343493e+00dB,-1.18761111964937e+00°)
1.03561897704497e-02	(-6.02246680278676e+00dB,-1.18788453034618e+00°)
1.03585746458267e-02	(-6.02246766253425e+00dB,-1.18815800395125e+00°)
1.03609600704047e-02	(-6.02246852267759e+00dB,-1.18843154047903e+00°)
1.03633460443103e-02	(-6.02246938321697e+00dB,-1.18870513994398e+00°)
1.03657325676699e-02	(-6.02247024415256e+00dB,-1.18897880236055e+00°)
1.03681196406101e-02	(-6.02247110548454e+00dB,-1.18925252774320e+00°)
1.03705072632575e-02	(-6.02247196721311e+00dB,-1.18952631610639e+00°)
1.03728954357386e-02	(-6.02247282933843e+00dB,-1.18980016746459e+00°)
1.03752841581800e-02	(-6.02247369186070e+00dB,-1.19007408183226e+00°)
1.03776734307084e-02	(-6.02247455478009e+00dB,-1.19034805922389e+00°)
1.03800632534505e-02	(-6.02247541809680e+00dB,-1.19062209965395e+00°)
1.03824536265330e-02	(-6.02247628181099e+00dB,-1.19089620313691e+00°)
1.03848445500826e-02	(-6.02247714592286e+00dB,-1.19117036968726e+00°)
1.03872360242261e-02	(-6.02247801043259e+00dB,-1.19144459931948e+00°)
1.03896280490902e-02	(-6.02247887534036e+00dB,-1.19171889204806e+00°)
1.03920206248019e-02	(-6.02247974064635e+00dB,-1.19199324788750e+00°)
1.03944137514879e-02	(-6.02248060635075e+00dB,-1.19226766685230e+00°)
1.03968074292751e-02	(-6.02248147245374e+00dB,-1.19254214895694e+00°)
1.03992016582904e-02	(-6.02248233895550e+00dB,-1.19281669421593e+00°)
1.04015964386609e-02	(-6.02248320585622e+00dB,-1.19309130264379e+00°)
1.04039917705134e-02	(-6.02248407315609e+00dB,-1.19336597425501e+00°)
1.04063876539749e-02	(-6.02248494085528e+00dB,-1.19364070906411e+00°)
1.04087840891725e-02	(-6.02248580895397e+00dB,-1.19391550708560e+00°)
1.04111810762332e-02	(-6.02248667745237e+00dB,-1.19419036833401e+00°)
1.04135786152842e-02	(-6.02248754635063e+00dB,-1.19446529282386e+00°)
1.04159767064525e-02	(-6.02248841564896e+00dB,-1.19474028056967e+00°)
1.04183753498652e-02	(-6.02248928534753e+00dB,-1.19501533158597e+00°)
1.04207745456496e-02	(-6.02249015544653e+00dB,-1.19529044588729e+00°)
1.04231742939329e-02	(-6.02249102594615e+00dB,-1.19556562348817e+00°)
1.04255745948422e-02	(-6.02249189684656e+00dB,-1.19584086440315e+00°)
1.04279754485049e-02	(-6.02249276814795e+00dB,-1.19611616864677e+00°)
1.04303768550482e-02	(-6.02249363985051e+00dB,-1.19639153623357e+00°)
1.04327788145995e-02	(-6.02249451195442e+00dB,-1.19666696717811e+00°)
1.04351813272861e-02	(-6.02249538445987e+00dB,-1.19694246149494e+00°)
1.04375843932353e-02	(-6.02249625736704e+00dB,-1.19721801919860e+00°)
1.04399880125747e-02	(-6.02249713067612e+00dB,-1.19749364030367e+00°)
1.04423921854316e-02	(-6.02249800438728e+00dB,-1.19776932482470e+00°)
1.04447969119335e-02	(-6.02249887850072e+00dB,-1.19804507277625e+00°)
1.04472021922078e-02	(-6.02249975301662e+00dB,-1.19832088417291e+00°)
1.04496080263822e-02	(-6.02250062793517e+00dB,-1.19859675902923e+00°)
1.04520144145842e-02	(-6.02250150325655e+00dB,-1.19887269735980e+00°)
1.04544213569413e-02	(-6.02250237898094e+00dB,-1.19914869917919e+00°)
1.04568288535812e-02	(-6.02250325510854e+00dB,-1.19942476450198e+00°)
1.04592369046315e-02	(-6.02250413163952e+00dB,-1.19970089334277e+00°)
1.04616455102199e-02	(-6.02250500857408e+00dB,-1.19997708571614e+00°)
1.04640546704741e-02	(-6.02250588591240e+00dB,-1.20025334163667e+00°)
1.04664643855218e-02	(-6.02250676365466e+00dB,-1.20052966111898e+00°)
1.04688746554908e-02	(-6.02250764180105e+00dB,-1.20080604417765e+00°)
1.04712854805088e-02	(-6.02250852035176e+00dB,-1.20108249082729e+00°)
1.04736968607038e-02	(-6.02250939930698e+00dB,-1.20135900108250e+00°)
1.04761087962034e-02	(-6.02251027866688e+00dB,-1.20163557495789e+00°)
1.04785212871357e-02	(-6.02251115843166e+00dB,-1.20191221246808e+00°)
1.04809343336286e-02	(-6.02251203860149e+00dB,-1.20218891362768e+00°)
1.04833479358098e-02	(-6.02251291917658e+00dB,-1.20246567845130e+00°)
1.04857620938075e-02	(-6.02251380015710e+00dB,-1.20274250695358e+00°)
1.04881768077497e-02	(-6.02251468154324e+00dB,-1.20301939914913e+00°)
1.04905920777643e-02	(-6.02251556333520e+00dB,-1.20329635505259e+00°)
1.04930079039794e-02	(-6.02251644553314e+00dB,-1.20357337467858e+00°)
